abbor,/ɑ b ɔ ɾ/
dumm,/d ɔ m/
dumme,/ˈ d ʊ m ə/
dump,/d ʊ m p/
dumpe,/ˈ d ʊ m p e/
dundre,/ˈ d ʉ n d ɾ ə/
dunke,/ˈ d ʊ ŋ k ə/
dunkel,"/ˈ d ʊ ŋ k ə l/, /ˈ d ɔ ŋ k l ̩/"
dunste,/ˈ d ʉ n s t ə/
duo,/ˈ d ʉ ː w u/
duplisere,/d ʉ p l ɪ ˈ s e ː ɾ ə/
Duplo,/ˈ d ʉ ː p l u/
durabelig,/d ʉ ˈ ɾ ɑː b ə l ɪ/
durabelige,/d ʉ ˈ ɾ ɑː b ə l ɪə/
durabeligere,/d ʉ ˈ ɾ ɑː b ə l ɪ ɾ ə/
durabeligst,/d ʉ ˈ ɾ ɑː b ə l ɪ k s t/
durabeligste,/d ʉ ˈ ɾ ɑː b ə l ɪ k s t ə/
dure,/ˈ d ʉ ː ɾ ə/
durkdreven,/ˈ d ʉ ɾ k d ɾ e ː ʋ ə n/
dusin,/d ʉ ˈ s iː n/
dusj,/d ʉ ʂ/
dusje,/ˈ d ʉ ʂ ə/
duve,/ˈ d ʉ ː ʋ ə/
dvele,/ˈ d ʋ e ː l ə/
dy,/d y ː/
dybde,/ˈ d ʏ b d ə/
dydig,/ˈ d y ː d ɪ/
dydige,/ˈ d y ː d ɪə/
dydigere,/ˈ d y ː d ɪ ɾ ə/
dydigst,/ˈ d y ː d ɪ k s t/
dydigste,/ˈ d y ː d ɪ k s t ə/
dykke,/ˈ d ʏ k ə/
dyktig,/ˈ d ʏ k t ɪ/
dyktige,/ˈ d ʏ k t ɪə/
dyktigere,/ˈ d ʏ k t ɪ ɾ ə/
dyktigst,/ˈ d ʏ k t ɪ k s t/
dyktigste,/ˈ d ʏ k t ɪ k s t ə/
dynamisk,/d ʏ ˈ n ɑː m ɪ s k/
dynasti,/d ʏ n ɑ ˈ s t iː/
dynke,/ˈ d ʏ ŋ k ə/
dyp,/d y ː p/
dyppe,/ˈ d ʏ p ə/
dypt,/d ʏ p t/
dyr,/d y ː ɾ/
dyrebar,/ˈ d y ː ɾ ə b ɑː ɾ/
dyrisk,/ˈ d y ː ɾ ɪ s k/
dyrke,/ˈ d ʏ ɾ k ə/
dyrlege,/ˈ d y ː ɭ e ː g ə/
dysse,/ˈ d ʏ s ə/
dyster,/ˈ d ʏ s t ə ɾ/
dytte,/ˈ d ʏ t ə/
dyvåt,/ˈ d y ː ʋ o ː t/
dø,/d ø ː/
død,/d ø ː d/
dødelig,/ˈ d ø ː d ə l ɪ/
dødelige,/ˈ d ø ː d ə l ɪə/
dødeligere,/ˈ d ø ː d ə l ɪ ɾ ə/
dødeligst,/ˈ d ø ː d ə l ɪ k s t/
dødeligste,/ˈ d ø ː d ə l ɪ k s t ə/
døgn,/d œ j n/
dølge,/ˈ d œ l g ə/
dømme,/ˈ d œ m ə/
døpe,/ˈ d ø ː p ə/
dør,/d ø ː ɾ/
dørslag,/ˈ d œ ʂ ɭ ɑː g/
dørstokk,/d ø ː ʂ t ɔ k/
døse,/ˈ d ø ː s ə/
døsig,/ˈ d ø ː s ɪ/
døsige,/ˈ d ø ː s ɪə/
døsigere,/ˈ d ø ː s ɪ ɾ ə/
døsigst,/ˈ d ø ː s ɪ k s t/
døsigste,/ˈ d ø ː s ɪ k s t ə/
døv,/d ø ː ʋ/
døyve,/ˈ d œ j ʋ ə/
dåne,/ˈ d o ː n ə/
dåp,/d o ː p/
dåpshandling,/ˈ d o ː p s h ɑ n d l ɪ ŋ/
dåre,/ˈ d o ː ɾ ə/
dårlig,/ˈ d o ː ɭ ɪ/
dårlige,/ˈ d o ː ɭ ɪə/
dårligere,/ˈ d o ː ɭ ɪ ɾ ə/
dårligst,/ˈ d o ː ɭ ɪ k s t/
dårligste,/ˈ d o ː ɭ ɪ k s t ə/
e-post,/ˈ e ː p ɔ s t/
ebbe,/ˈ ɛ b ə/
eddik,/ˈ ɛ d ɪ k/
edel,/ˈ e ː d ə l/
edru,/ˈ e ː d ɾ ʉ/
edruelig,/ɛ ˈ d ɾ ʉ ː ə l ɪ/
edruelige,/ɛ ˈ d ɾ ʉ ː ə l ɪə/
edrueligere,/ɛ ˈ d ɾ ʉ ː ə l ɪ ɾ ə/
edrueligst,/ɛ ˈ d ɾ ʉ ː ə l ɪ k s t/
edrueligste,/ɛ ˈ d ɾ ʉ ː ə l ɪ k s t ə/
Edvard,"/ˈ ɛ d ʋ ɑ ɖ/, /ˈ ɛ d ʋ ɑ ʈ/"
effektiv,/ˈ ɛ f ə k t iː ʋ/
egen,"/ˈ e ː g ə n/, /ˈ e ː g n̩/"
egenhendig,/ˈ e ː g ə n h ɛ n ɪ/
egenhendige,/ˈ e ː g ə n h ɛ n ɪə/
egenhendigere,/ˈ e ː g ə n h ɛ n ɪ ɾ ə/
egenhendigst,/ˈ e ː g ə n h ɛ n ɪ k s t/
egenhendigste,/ˈ e ː g ə n h ɛ n ɪ k s t ə/
egennyttig,/ˈ e ː g ə n ʏ t ɪ/
egennyttige,/ˈ e ː g ə n ʏ t ɪə/
egennyttigere,/ˈ e ː g ə n ʏ t ɪ ɾ ə/
egennyttigst,/ˈ e ː g ə n ʏ t ɪ k s t/
egennyttigste,/ˈ e ː g ə n ʏ t ɪ k s t ə/
egenrådig,/ˈ e ː g ə n ɾ o ː d ɪ/
egenrådige,/ˈ e ː g ə n ɾ o ː d ɪə/
egenrådigere,/ˈ e ː g ə n ɾ o ː d ɪ ɾ ə/
egenrådigst,/ˈ e ː g ə n ɾ o ː d ɪ k s t/
egenrådigste,/ˈ e ː g ə n ɾ o ː d ɪ k s t ə/
egentlig,/ˈ e ː g ə n t l ɪ/
egentlige,/ˈ e ː g ə n t l ɪə/
egentligere,/ˈ e ː g ə n t l ɪ ɾ ə/
egentligst,/ˈ e ː g ə n t l ɪ k s t/
egentligste,/ˈ e ː g ə n t l ɪ k s t ə/
egg,/ɛ g/
egge,/ˈ æɪ ə/
eggerøre,/ˈ æɪ ə ɾ ø ː ɾ ə/
egle,/ˈ æɪ l ə/
egne,/ˈ æɪ n ə/
egoistisk,/æɪ ʊ ˈ ɪ s t ɪ s k/
egosentrisk,/e ː g ʊ ˈ s ɛ n t ɾ ɪ s k/
egyptisk,/ɛ ˈ g ʏ p t ɪ s k/
ei,/æ i/
ei uke til,/æɪ ʉ ː k ə t ɪ l/
eie,/ˈ æɪ ə/
eiendom,/ˈ æɪ ə n ɔ m/
eier,/æɪ ə ɾ/
ekkel,/ˈ ɛ k ə l/
eksakt,/ɛ k ˈ s ɑ k t/
eksaltert,/ɛ k s ɑ l ˈ t e ː ʈ/
eksaminere,/ɛ k s ɑ m ɪ ˈ n e ː ɾ ə/
eksempel,/ɛ k ˈ s ɛ m p ə l/
eksemplarisk,/ɛ k s ə m ˈ p l ɑː ɾ ɪ s k/
eksentrisk,/ɛ k ˈ s ɛ n t ɾ ɪ s k/
eksepsjonell,/ɛ k s ə p ʂ ʊ ˈ n ɛ l/
eksistensiell,/ɛ k s ɪ s t ə n s ɪ ˈ ɛ l/
eksistere,/ɛ k s ɪ ˈ s t e ː ɾ ə/
ekskludere,/ɛ k s k l ʉ ˈ d e ː ɾ ə/
eksklusiv,/ˈ ɛ k s k l ʉ s ɪ ʋ/
eksosrør,/ɛ k ˈ s uː s ɾ ø ː ɾ/
eksotisk,/ɛ k ˈ s uː t ɪ s k/
ekspandere,/ɛ k s p ɑ ŋ ˈ d e ː ɾ ə/
ekspedere,/ɛ k s p ə ˈ d e ː ɾ ə/
eksperiment,/ɛ k s p ə ɾ ɪ ˈ m ɛ n t/
eksperimentell,/ɛ k s p ə ɾ ɪ m ə n ˈ t ɛ l/
eksperimentere,/ɛ k s p ə ɾ ɪ m ə n ˈ t e ː ɾ ə/
eksplodere,/ɛ k s p l ʊ ˈ d e ː ɾ ə/
eksplosiv,/ˈ ɛ k s p l ʊ s iː ʋ/
eksponere,/ɛ k s p ʊ ˈ n e ː ɾ ə/
eksportere,/ɛ k s p ɔ ˈ ʈ e ː ɾ ə/
ekspresjonisme,/ɛ k s p ɾ ɛ ʂ ʊ ˈ n ɪ s m ə/
ekspressbrev,/ɛ k s ˈ p ɾ ɛ s b ɾ e ː ʋ/
ekspressbuss,/ɛ k s ˈ p ɾ ɛ s b ʉ s/
ekstatisk,/ɛ k ˈ s t ɑː t ɪ s k/
ekstensiv,/ˈ ɛ k s t ə n s iː ʋ/
ekstra,/ˈ ɛ k s t ɾ ɑ/
ekstraordinær,/ˈ ɛ k s t ɾ ɑ ɔ ɖ ɪ n æ ː ɾ/
ekstrem,/ɛ k ˈ s t ɾ e ː m/
ekte,/ˈ ɛ k t ə/
ektemann,/ɛ k t ə m ɑ n/
ektepar,/ɛ k t ə p ɑː ɾ/
ekteskap,/ˈ ɛ k t ə s k ɑː p/
elastisk,/ɛ ˈ l ɑ s t ɪ s k/
elde,/ˈ ɛ l d ə/
eldes,/ˈ ɛ l d ə s/
eldgammel,/ˈ ɛ l g ɑ m ə l/
eldre,/ˈ ɛ l d ɾ ə/
elefant,/ɛ l ə ˈ f ɑ n t/
elegant,/ɛ l ə ˈ g ɑ n t/
elektrisk,/ɛ ˈ l ɛ k t ɾ ɪ s k/
elektrisk forretning,/ɛ ˈ l ɛ k t ɾ ɪ s k   f ɔ ˈ ɾ ɛ t n ɪ ŋ/
elektriske artikler,/ɛ ˈ l ɛ k t ɾ ɪ s k ə   ɑ ˈ ʈ ɪ k l ə ɾ/
elektronisk,/ɛ l ə k ˈ t ɾ uː n ɪ s k/
elementær,/ɛ l ə m ə n ˈ t æ ː ɾ/
elendig,/ɛ ˈ l ɛ n ɪ/
elendige,/ɛ ˈ l ɛ n ɪə/
elendigere,/ɛ ˈ l ɛ n ɪ ɾ ə/
elendigst,/ɛ ˈ l ɛ n ɪ k s t/
elendigste,/ɛ ˈ l ɛ n ɪ k s t ə/
elf,/ɛ l f/
eliminere,/ɛ l ɪ m ɪ ˈ n e ː ɾ ə/
Elise,/ɛ ˈ l iː s ə/
eller,/ˈ ɛ l ə ɾ/
ellers,/ˈ ɛ l ə ʂ/
elleve,/ˈ ɛ l ʋ ə/
ellevill,/ˈ ɛ l ə ʋ ɪ l/
elske,/ˈ ɛ l s k ə/
elsker,/ˈ ɛ l s k ə ɾ/
elskling,/ɛ l s k l ɪ ŋ/
elskverdig,/ɛ l s k ˈ ʋ æ ɖ ɪ/
elskverdige,/ɛ l s k ˈ ʋ æ ɖ ɪə/
elskverdigere,/ɛ l s k ˈ ʋ æ ɖ ɪ ɾ ə/
elskverdigst,/ɛ l s k ˈ ʋ æ ɖ ɪ k s t/
elskverdigste,/ɛ l s k ˈ ʋ æ ɖ ɪ k s t ə/
elte,/ˈ ɛ l t ə/
elv,/æ l ʋ/
emballere,/ɛ m b ɑ ˈ l e ː ɾ ə/
emigrere,/ɛ m ɪ ˈ g ɾ e ː ɾ ə/
eminent,/ɛ m ɪ ˈ n ɛ n t/
emmen,/ˈ ɛ m ə n/
emne,/ˈ ɛ m n ə/
emosjonell,/ɛ m ʊ ʂ ʊ ˈ n ɛ l/
empatisk,/ɛ m ˈ p ɑː t ɪ s k/
empfehlen,/ɛ m ˈ p f e ː l ə n/
empirisk,/ɛ m ˈ p iː ɾ ɪ s k/
én,/ˈ e ː n/
en,/e ː n/
en gang,/ɛ n ˈ g ɑ ŋ/
en gang til,/ɛ n ˈ g ɑ ŋ t ɪ l/
enda,/ɛ n ɑ/
ende,/ˈ ɛ n ə/
endelig,/ˈ ɛ n ə l ɪ/
endelige,/ˈ ɛ n ə l ɪə/
endeligere,/ˈ ɛ n ə l ɪ ɾ ə/
endeligst,/ˈ ɛ n ə l ɪ k s t/
endeligste,/ˈ ɛ n ə l ɪ k s t ə/
endelse,/ˈ ɛ n ə l s ə/
endeløs,/ˈ ɛ n ə l ø ː s/
ender,/ˈ ɛ n ə ɾ/
endestasjon,/ɛ n ə s t ɑ ʂ uː n/
endevende,/ˈ ɛ n ə ʋ ɛ n ə/
endre,/ˈ ɛ n d ɾ ə/
endring,/ˈ ɛ n d ɾ ɪ ŋ/
ene,/ˈ e ː n ə/
energisk,/ɛ ˈ n æ ɾ g ɪ s k/
enerverende,/ɛ n æ ɾ ˈ ʋ e ː ɾ ə n ə/
enerådende,/ˈ e ː n ə ɾ o ː d ə n ə/
enes,/ˈ e ː n ə s/
eneste,/ˈ e ː n ə s t ə/
enestående,/ˈ e ː n ə s t o ː ə n ə/
enfoldig,/ɛ n ˈ f ɔ l d ɪ/
enfoldige,/ɛ n ˈ f ɔ l d ɪə/
enfoldigere,/ɛ n ˈ f ɔ l d ɪ ɾ ə/
enfoldigst,/ɛ n ˈ f ɔ l d ɪ k s t/
enfoldigste,/ɛ n ˈ f ɔ l d ɪ k s t ə/
eng,/ɛ ŋ/
engasjere,/ɛ ŋ g ɑ ˈ ʂ e ː ɾ ə/
engelsk,/ˈ ɛ ŋ ə l s k/
engste,/ˈ ɛ ŋ s t ə/
engstelig,/ˈ ɛ ŋ s t ə l ɪ/
engstelige,/ˈ ɛ ŋ s t ə l ɪə/
engsteligere,/ˈ ɛ ŋ s t ə l ɪ ɾ ə/
engsteligst,/ˈ ɛ ŋ s t ə l ɪ k s t/
engsteligste,/ˈ ɛ ŋ s t ə l ɪ k s t ə/
enhetlig,/ˈ e ː n h e ː t l ɪ/
enhetlige,/ˈ e ː n h e ː t l ɪə/
enhetligere,/ˈ e ː n h e ː t l ɪ ɾ ə/
enhetligst,/ˈ e ː n h e ː t l ɪ k s t/
enhetligste,/ˈ e ː n h e ː t l ɪ k s t ə/
enhver,/ɛ n ˈ ʋ æ ː ɾ/
enig,/ˈ e ː n ɪ/
enige,/ˈ e ː n ɪə/
enigere,/ˈ e ː n ɪ ɾ ə/
enigst,/ˈ e ː n ɪ k s t/
enigste,/ˈ e ː n ɪ k s t ə/
enke,/ɛ ŋ k ə/
enkel,/ˈ ɛ ŋ k ə l/
enkelt,/ˈ ɛ ŋ k ə l t/
enkeltstående,/ˈ ɛ ŋ k ə l t s t o ː ə n ə/
enkemann,/ɛ ŋ k ə m ɑ n/
enkle,/ˈ ɛ ŋ k l ə/
enklere,/ˈ ɛ ŋ k l ə ɾ ə/
enklest,/ˈ ɛ ŋ k l ə s t/
enn,/ɛ n/
ennå ikke,/ɛ n ɔɪ k ə/
enorm,/ɛ ˈ n ɔ ɾ m/
ens,/e ː n s/
ensarta,/ˈ e ː n s ɑː ʈ ɑ/
ensartet,/ˈ e ː n s ɑː ʈ ɑ/
ensbetydende,/ˈ e ː n s b ə t y ː d ə n ə/
ense,/ˈ ɛ n s ə/
ensfarga,/ˈ e ː n s f ɑ ɾ g ɑ/
ensfarget,/ˈ e ː n s f ɑ ɾ g ɑ/
ensformig,/ˈ e ː n s f ɔ ɾ m ɪ/
ensformige,/ˈ e ː n s f ɔ ɾ m ɪə/
ensformigere,/ˈ e ː n s f ɔ ɾ m ɪ ɾ ə/
ensformigst,/ˈ e ː n s f ɔ ɾ m ɪ k s t/
ensformigste,/ˈ e ː n s f ɔ ɾ m ɪ k s t ə/
ensidig,/ˈ e ː n s iː d ɪ/
ensidige,/ˈ e ː n s iː d ɪə/
ensidigere,/ˈ e ː n s iː d ɪ ɾ ə/
ensidigst,/ˈ e ː n s iː d ɪ k s t/
ensidigste,/ˈ e ː n s iː d ɪ k s t ə/
enslig,/ˈ e ː n ʂ ɭ ɪ/
enslige,/ˈ e ː n ʂ ɭ ɪə/
ensligere,/ˈ e ː n ʂ ɭ ɪ ɾ ə/
ensligst,/ˈ e ː n ʂ ɭ ɪ k s t/
ensligste,/ˈ e ː n ʂ ɭ ɪ k s t ə/
ensom,/ˈ e ː n s ɔ m/
enten eller,/ˈ ɛ n t ə n   ˈ ɛ l ə ɾ/
entre,/ˈ ɛ n t ɾ ə/
entusiastisk,/ɛ n t ʉ s ɪ ˈ ɑ s t ɪ s k/
epidemisk,/ɛ p ɪ ˈ d e ː m ɪ s k/
epileptisk,/ɛ p ɪ ˈ l ɛ p t ɪ s k/
episk,/ˈ e ː p ɪ s k/
episode,/ɛ p ɪ s uː d ə/
eple,/ˈ ɛ p l ə/
eplekjekk,/ˈ ɛ p l ə ç ɛ k/
epoke,/ɛ p uː k ə/
er,/æ ː ɾ/
erfare,/æ ɾ ˈ f ɑː ɾ ə/
erfaren,/æ ɾ ˈ f ɑː ɾ ə n/
erfaring,/æ ɾ ˈ f ɑː ɾ ɪ ŋ/
ergerlig,/ˈ æ ɾ g ə l ɪ/
ergerlige,/ˈ æ ɾ g ə l ɪə/
ergerligere,/ˈ æ ɾ g ə l ɪ ɾ ə/
ergerligst,/ˈ æ ɾ g ə l ɪ k s t/
ergerligste,/ˈ æ ɾ g ə l ɪ k s t ə/
ergre,/ˈ æ ɾ g ɾ ə/
ergre seg over,/æ ɾ g ɾ ə s æɪ o ː ʋ ə ɾ/
erindre,/æ ˈ ɾ ɪ n d ɾ ə/
erkjenne,/æ ɾ ˈ ç ɛ n ə/
erklære,"/æ ɾ ˈ k l æ ː ɾ ə/, /æ ˈ k l æ ː ɾ ə/"
erme,/æ ɾ m ə/
ernst,/ɛ ɳ s t/
ernære,/æ ˈ ɳ æ ː ɾ ə/
erobre,/æ ˈ ɾ uː b ɾ ə/
erotisk,/ɛ ˈ ɾ uː t ɪ s k/
erstatte,/æ ˈ ʂ t ɑ t ə/
ert,/æ ʈ/
erte,/ˈ æ ʈ ə/
erter,/ˈ æ ʈ ə ɾ/
erverve,/æ ɾ ˈ ʋ æ ɾ ʋ ə/
ese,/ˈ e ː s ə/
eskadre,/ɛ ˈ s k ɑː d ɾ ə/
essensiell,/ɛ s ə n s ɪ ˈ ɛ l/
estetisk,/ɛ ˈ s t e ː t ɪ s k/
et,/ɛ t/
et annet sted,/ɛ t ˈ ɑ n ə t s t e ː d/
et avslitt leddbånd,/ɛ t ˈ ɑ ʋ ʂ ɭ ɪ t l ɛ d b ɔ n/
et par,/ɛ t p ɑː ɾ/
etablere,/ɛ t ɑ ˈ b l e ː ɾ ə/
etasje,/ɛ ˈ t ɑː ʂ ə/
etasjeseng,/ɛ ˈ t ɑː ʂ ə s ɛ ŋ/
ete,/ˈ e ː t ə/
eter,/ˈ e ː t ə ɾ/
eterisk,/ɛ ˈ t e ː ɾ ɪ s k/
etisk,/ˈ e ː t ɪ s k/
etnisk,/ˈ ɛ t n ɪ s k/
etnologisk museum,/ɛ t n ʊ ˈ l uː g ɪ s k   m ʉ s ˈ ɛ ʉ m/
ett,/ɛ t/
etter,/ˈ ɛ t ə ɾ/
etterforske,/ˈ ɛ t ə ɾ f ɔ ʂ k ə/
etterfølge,/ˈ ɛ t ə ɾ f œ l ə/
etterkomme,/ˈ ɛ t ə ɾ k ɔ m ə/
etterlate,/ˈ ɛ t ə ɭ ɑː t ə/
etterligne,/ˈ ɛ t ə ɭ ɪ ŋ n ə/
etterlyse,/ˈ ɛ t ə ɭ y ː s ə/
ettermiddag,/ˈ ɛ t ə ɾ m ɪ d ɑː g/
etternavn,/ˈ ɛ t ə ɳ ɑ ʋ n̩/
etterpåklok,/ˈ ɛ t ə ɾ p ɔ k l uː k/
etterse,/ˈ ɛ t ə ʂ e ː/
ettersende,/ɛ t ə ʂ ɛ n ə/
ettersøke,/ˈ ɛ t ə ʂ ø ː k ə/
ettertenksom,/ɛ t ə ˈ ʈ ɛ ŋ k s ɔ m/
ettertrykkelig,/ɛ t ə ˈ ʈ ɾ ʏ k ə l ɪ/
ettertrykkelige,/ɛ t ə ˈ ʈ ɾ ʏ k ə l ɪə/
ettertrykkeligere,/ɛ t ə ˈ ʈ ɾ ʏ k ə l ɪ ɾ ə/
ettertrykkeligst,/ɛ t ə ˈ ʈ ɾ ʏ k ə l ɪ k s t/
ettertrykkeligste,/ɛ t ə ˈ ʈ ɾ ʏ k ə l ɪ k s t ə/
ettroms leilighet,/ˈ ɛ t ɾ ʊ m s l æɪ l ɪ h e ː t/
EU-borger,/ɛ ʉ b ɔ ɾ g ə ɾ/
euro,/ˈ æʉ ː ɾ u/
europeer,/æʉ ɾ ʊ ˈ p e ː ə ɾ/
europeisk,/æʉ ɾ ʊ ˈ p e ː ɪ s k/
evakuere,/ɛ ʋ ɑ k ʉ ˈ e ː ɾ ə/
evaluere,/ɛ ʋ ɑ l ʉ ˈ e ː ɾ ə/
eventuell,/ɛ ʋ ə n t ʉ ˈ ɛ l/
eventyr,"/ˈ e ː ʋ ə n t y ː ɾ/, /ˈ e ː ʋ n t y ː ɾ/"
eventyrlig,/ɛ ʋ ə n ˈ t y ː ɭ ɪ/
eventyrlige,/ɛ ʋ ə n ˈ t y ː ɭ ɪə/
eventyrligere,/ɛ ʋ ə n ˈ t y ː ɭ ɪ ɾ ə/
eventyrligst,/ɛ ʋ ə n ˈ t y ː ɭ ɪ k s t/
eventyrligste,/ɛ ʋ ə n ˈ t y ː ɭ ɪ k s t ə/
evig,/ˈ e ː ʋ ɪ/
evige,/ˈ e ː ʋ ɪə/
evigere,/ˈ e ː ʋ ɪ ɾ ə/
evigst,/ˈ e ː ʋ ɪ k s t/
evigste,/ˈ e ː ʋ ɪ k s t ə/
evinnelig,/ɛ ˈ ʋ ɪ n ə l ɪ/
evinnelige,/ɛ ˈ ʋ ɪ n ə l ɪə/
evinneligere,/ɛ ˈ ʋ ɪ n ə l ɪ ɾ ə/
evinneligst,/ɛ ˈ ʋ ɪ n ə l ɪ k s t/
evinneligste,/ɛ ˈ ʋ ɪ n ə l ɪ k s t ə/
evne,/ˈ ɛ ʋ n ə/
fabelaktig,/ˈ f ɑː b ə l ɑ k t ɪ/
fabelaktige,/ˈ f ɑː b ə l ɑ k t ɪə/
fabelaktigere,/ˈ f ɑː b ə l ɑ k t ɪ ɾ ə/
fabelaktigst,/ˈ f ɑː b ə l ɑ k t ɪ k s t/
fabelaktigste,/ˈ f ɑː b ə l ɑ k t ɪ k s t ə/
fable,/ˈ f ɑː b l ə/
fabrikant,/f ɑ b ɾ ɪ ˈ k ɑ n t/
fabrikasjon,/f ɑ b ɾ ɪ k ɑ ˈ ʂ uː n/
fabrikk,/f ɑ ˈ b ɾ ɪ k/
fabrikkere,/f ɑ b ɾ ɪ ˈ k e ː ɾ ə/
fager,/ˈ f ɑː g ə ɾ/
faglig,/ˈ f ɑː g l ɪ/
faglige,/ˈ f ɑː g l ɪə/
fagligere,/ˈ f ɑː g l ɪ ɾ ə/
fagligst,/ˈ f ɑː g l ɪ k s t/
fagligste,/ˈ f ɑː g l ɪ k s t ə/
faglært,/ˈ f ɑː g l æ ː ʈ/
fair,/f æ ː ɾ/
fajanse,/f ɑ ˈ j ɑ n s ə/
fakke,/ˈ f ɑ k ə/
fakkel,/ˈ f ɑ k ə l/
fakse,/ˈ f ɑ k s ə/
faktisk,/ˈ f ɑ k t ɪ s k/
falle,/ˈ f ɑ l ə/
falleferdig,/ˈ f ɑ l ə f æ ː ɖ ɪ/
falleferdige,/ˈ f ɑ l ə f æ ː ɖ ɪə/
falleferdigere,/ˈ f ɑ l ə f æ ː ɖ ɪ ɾ ə/
falleferdigst,/ˈ f ɑ l ə f æ ː ɖ ɪ k s t/
falleferdigste,/ˈ f ɑ l ə f æ ː ɖ ɪ k s t ə/
fallitt,/f ɑ ˈ l ɪ t/
falme,/ˈ f ɑ l m ə/
falsk,/f ɑ l s k/
falske,/ˈ f ɑ l s k ə/
familie,/f ɑ ˈ m iː l ɪə/
familiær,/f ɑ m ɪ l ɪ ˈ æ ː ɾ/
famle,/ˈ f ɑ m l ə/
fanatisk,/f ɑ ˈ n ɑː t ɪ s k/
fane,/ˈ f ɑː n ə/
fange,/ˈ f ɑ ŋ ə/
fant,/f ɑ n t/
fantasere,/f ɑ n t ɑ ˈ s e ː ɾ ə/
fantastisk,/f ɑ n ˈ t ɑ s t ɪ s k/
far,/f ɑː ɾ/
fare,/ˈ f ɑː ɾ ə/
farga,/ˈ f ɑ ɾ g ə t/
farge,/ˈ f ɑ ɾ g ə/
fargeblind,/ˈ f ɑ ɾ g ə b l ɪ n/
fargehandel,/f ɑ ɾ g ə h ɑ n ə l/
fargerik,/ˈ f ɑ ɾ g ə ɾ iː k/
farget,/ˈ f ɑ ɾ g ə t/
farlig,/ˈ f ɑː ɭ ɪ/
farlige,/ˈ f ɑː ɭ ɪə/
farligere,/ˈ f ɑː ɭ ɪ ɾ ə/
farligst,/ˈ f ɑː ɭ ɪ k s t/
farligste,/ˈ f ɑː ɭ ɪ k s t ə/
fart,/f ɑ ʈ/
farte,/ˈ f ɑ ʈ ə/
fartsmåler,/ˈ f ɑ ʈ s m o ː l ə ɾ/
fasade,/f ɑ s ɑː d ə/
fascinere,/f ɑ s ɪ ˈ n e ː ɾ ə/
fascistisk,/f ɑ ˈ ʂ ɪ s t ɪ s k/
fase,/ˈ f ɑː s ə/
fasjonabel,/f ɑ ʂ ʊ ˈ n ɑː b ə l/
fast,/f ɑ s t/
faste,/ˈ f ɑ s t ə/
fastelavn,/f ɑ s t ə l ɑ ʋ n̩/
fastende,/f ɑ s t ə n ə/
fastholde,/ˈ f ɑ s t h ɔ l ə/
fastland,/ˈ f ɑ s t l ɑ n/
fastsette,/ˈ f ɑ s t s ɛ t ə/
fat,/f ɑː t/
fatal,/f ɑ ˈ t ɑː l/
fatle,/ˈ f ɑ t l ə/
fatte,/ˈ f ɑ t ə/
fattet,/ˈ f ɑ t ə t/
fattig,/ˈ f ɑ t ɪ/
fattige,/ˈ f ɑ t ɪə/
fattigere,/ˈ f ɑ t ɪ ɾ ə/
fattigslig,/ˈ f ɑ t ɪ ʂ ɭ ɪ/
fattigslige,/ˈ f ɑ t ɪ ʂ ɭ ɪə/
fattigsligere,/ˈ f ɑ t ɪ ʂ ɭ ɪ ɾ ə/
fattigsligst,/ˈ f ɑ t ɪ ʂ ɭ ɪ k s t/
fattigsligste,/ˈ f ɑ t ɪ ʂ ɭ ɪ k s t ə/
fattigst,/ˈ f ɑ t ɪ k s t/
fattigste,/ˈ f ɑ t ɪ k s t ə/
faun,/f æ w n/
favorisere,/f ɑ ʋ ʊ ɾ ɪ ˈ s e ː ɾ ə/
feber,/ˈ f e ː b ə ɾ/
febrilsk,/f ə ˈ b ɾ iː l s k/
februar,/f ə b ɾ ʉ ˈ ɑ ɾ/
fedme,/ˈ f ɛ d m ə/
fehlen,/ˈ f e ː l ə n/
feide,/ˈ f æɪ d ə/
feie,/ˈ f æɪ ə/
feig,/f æɪ g/
feige,/f æɪ g ɪə/
feigere,/f æɪ g ɪ ɾ ə/
feigst,/f æɪ g ɪ k s t/
feigste,/f æɪ g ɪ k s t ə/
feil,/f æɪ l/
feilaktig,/f æɪ l ˈ ɑ k t ɪ/
feilaktige,/f æɪ l ˈ ɑ k t ɪə/
feilaktigere,/f æɪ l ˈ ɑ k t ɪ ɾ ə/
feilaktigst,/f æɪ l ˈ ɑ k t ɪ k s t/
feilaktigste,/f æɪ l ˈ ɑ k t ɪ k s t ə/
feile,/ˈ f æɪ l ə/
feilfri,/ˈ f æɪ l f ɾ iː/
feilslått,/ˈ f æɪ l ʂ ɭ ɔ t/
feiltagelse,/f æɪ l t ɑː g ɛ l s ə/
feire,/ˈ f æɪ ɾ ə/
feit,/f æɪ t/
fekte,/ˈ f ɛ k t ə/
felle,/ˈ f ɛ l ə/
felles,/ˈ f ɛ l ə s/
felt,/f ɛ l t/
fem,/f ɛ m/
femten,/f ɛ m t ə n/
femti,/ˈ f ɛ m t i/
fengsel,/ˈ f ɛ ŋ ʂ ə l/
fengsle,/ˈ f ɛ ŋ ʂ ɭ ə/
fennikel,/ˈ f æ n ɪ k ə l/
fenomenal,/f ɛ n ʊ m ə ˈ n ɑː l/
ferdes,/ˈ f æ ɖ ə s/
