abbor  aa b ao r
fremholde  f r eh m h ao l ax
fremkalle  f r eh m k aa l ax
fremlegge  f r eh m l ay ax
fremme  f r eh m ax
fremmed  f r eh m ax d
fremmed valuta  f r eh m ax d v aa l uh t aa
fremragende  f r eh m r aa g ax n ax
fremsette  f r eh m s eh t ax
fremskreden  f r eh m s k r ee d ax n
fremskritt  f r eh m s k r ih t
fremskynde  f r eh m sz ue n ax
fremstille  f r eh m s t ih l ax
fremstående  f r eh m s t oo ax n ax
fremsynt  f r eh m s ueh n t
fremtre  f r eh m t r ee
fremtredende  f r eh m t r ee d ax n ax
frese  f r ee s ax
fri  f r iy
frieren  f r iy r ax n
frifinne  f r iy f ih n ax
frigjøre  f r iy j oeh r ax
frihet  f r iy hh ee t
friidrett  f r iy iy d r eh t
frikjenne  f r iy xh eh n ax
friklatring  f r iy k l aa t r ih ng
frimerke  f r iy m ae r k ax
frimodig  f r iy m uu d ih
frimodige  f r iy m uu d ih ax
frimodigere  f r iy m uu d ih r ax
frimodigst  f r iy m uu d ih k s t
frimodigste  f r iy m uu d ih k s t ax
frisere  f r ih s ee r ax
frisk  f r ih s k
friste  f r ih s t ax
frita  f r iy t aa
fritid  f r iy t iy d
fritidspark  f r iy t ih d s p aa r k
fritt  f r ih t
frivillig  f r iy v ih l ih
frivillige  f r iy v ih l ih ax
frivilligere  f r iy v ih l ih r ax
frivilligst  f r iy v ih l ih k s t
frivilligste  f r iy v ih l ih k s t ax
fro  f r oeh
frokost  f r uu k ao s t
frokostrom  f r uu k ao s t r uh m
from  f r ao m
frossen  f r ao s ax n
frost  f r ao s t
frostvæske  f r ao s t v eh s k ax
frottere  f r ao t ee r ax
fru  f r uh
frukt  f r uh k t
fruktbar  f r uh k t b aa r
fruktesløs  f r uh k t ax s l oeh s
fryd  f r ueh d
fryde  f r ueh d ax
frykt  f r ue k t
frykte  f r ue k t ax
fryktelig  f r ue k t l iy
fryktelige  f r ue k t ax l ih ax
frykteligere  f r ue k t ax l ih r ax
frykteligst  f r ue k t ax l ih k s t
frykteligste  f r ue k t ax l ih k s t ax
frynse  f r ue n s ax
frynsete  f r ue n s ax t ax
fryse  f r ueh s ax
frø  f r oeh
frøken  f r oeh k ax n
fråde  f r oo d ax
fråtse  f r ao t s ax
fugl  f uh l
fukte  f uh k t ax
fuktig  f uh k t ih
fuktige  f uh k t ih ax
fuktigere  f uh k t ih r ax
fuktigst  f uh k t ih k s t
fuktigste  f uh k t ih k s t ax
ful  f uh l
full  f uh l
fullbefaren  f uh l b ax f aa r ax n
fullbyrde  f uh l b ue d ax
fullføre  f uh l f oeh r ax
fullkommen  f uh l k ao m ax n
fullstendig  f uh l s t eh n ih
fullstendige  f uh l s t eh n ih ax
fullstendigere  f uh l s t eh n ih r ax
fullstendigst  f uh l s t eh n ih k s t
fullstendigste  f uh l s t eh n ih k s t ax
fult  f uh l t
fundamental  f uh n aa m ax n t aa l
fundamentalistisk  f uh n aa m ax n t aa l ih s t ih s k
fungere  f uh ng g ee r ax
funkle  f uh ng k l ax
funn  f uh n
fure  f uh r ax
furte  f uh t ax
furu  f uh r uh
fusjonere  f uh sz uh n ee r ax
fuske  f uh s k ax
fyke  f ueh k ax
fyldig  f ue l d ih
fyldige  f ue l d ih ax
fyldigere  f ue l d ih r ax
fyldigst  f ue l d ih k s t
fyldigste  f ue l d ih k s t ax
fylke  f ue l k ax
fylle  f ue l ax
fylt  f ue l t
fyr  f ueh r
fyre  f ueh r ax
fyren  f ueh ue ng
fyrer  f ueh r ax r
fyrstelig  f ue sz t ax l ih
fyrstelige  f ue sz t ax l ih ax
fyrsteligere  f ue sz t ax l ih r ax
fyrsteligst  f ue sz t ax l ih k s t
fyrsteligste  f ue sz t ax l ih k s t ax
fyrstikk  f ueh sz t ih k
fyrverkeri  f ueh r v ae r k ax r iy
fysiologisk  f ue s ih uh l oo g ih s k
fysisk  f ueh s ih s k
fæl  f ae l
færøysk  f ae r oe j s k
føde  f oeh d ax
fødested  f oeh d ax s t ee d
fødsel  f oe t s ax l
fødselsdag  f oe t s ax l s d aa g
født  f oe t
føle  f oeh l ax
følelse  f oeh l ax l s ax
følelsesløs  f oeh l ax l s ax s l oeh s
følg  f oe l
følge  f oe l ax
følsom  f oeh l s ao m
føn  f oeh n
føne  f oeh n ax
før  f oeh r
føre  f oeh r ax
først  f oe sz t
første  f oe sz t ax
første etasje  f oe sz t ax eh t aa sz ax
første gir  f oe sz t ax g iy r
førstehjelp  f oe sz t ax j eh l p
førstehånds  f oe sz t ax hh ao n s
førsteklasses  f oe sz t ax k l aa s ax s
førti  f oe t iy
føye  f oe j ax
føyelig  f oe j ax l ih
føyelige  f oe j ax l ih ax
føyeligere  f oe j ax l ih r ax
føyeligst  f oe j ax l ih k s t
føyeligste  f oe j ax l ih k s t ax
få  f oo
få lov t il  f oo l oo v t ih l
få vite  f ao v iy t ax
fåfengt  f oo f eh ng t
fåm ælt  f oo m ee l t
får  f oo r
fårete  f oo r ax t ax
gabbro  g aa b r u
gaffel  g aa f ax l
gagne  g aa ng n ax
gal  g aa l
galant  g aa l aa n t
gale  g aa l ax
galleri  g aa l ax r iy
galoppere  g aa l ao p ee r ax
galskap  g aa l s k aa p
gamlebyen  g aa m l ax b ueh ax n
gammel  g aa m ax l
gammeldags  g aa m ax l d aa k s
gamp  g aa m p
gane  g aa n ax
gang  g aa ng
gangbru  g aa ng b r uh
gange  g aa ng ax
gangen  g aa ng ax n
ganske  g aa n s k ax
gape  g aa p ax
garantere  g aa r aa n t ee r ax
garanti  g aa r aa n t iy
gard  g aa r
garde  g aa d ax
gardere  g aa d ee r ax
garderobe  g aa d ax r oo b ax
gardin  g aa d iy n
gardist  g aa d ih s t
gasse  g aa s ax
gassflaske  g aa s f l aa s k ax
gastronomisk  g aa s t r uh n uu m ih s k
gate  g aa t ax
gauk  g ae w k
gaule  g aw l ax
gaupe  g aw p ax
gav  g aa
gave  g aa v ax
gavl  g aa v l
gavmild  g aa v m ih l
geboren  g ax b oo r ax n
gebrokken  g ax b r ao k ax n
gebyr  g ee b ue r
gedigen  g ax d iy g ax n
gehen  g ee ax n
geipe  j ay p ax
geistlig  g ay s t l ih
geistlige  g ay s t l ih ax
geistligere  g ay s t l ih r ax
geistligst  g ay s t l ih k s t
geistligste  g ay s t l ih k s t ax
geit  j ay t
geita  j ay t aa
geitost  j ay t uh s t
gelatin  sz eh l aa t iy n
gelb  g eh l p
gemen  g ax m ee n
generalisere  g eh n ax r aa l ih s ee r ax
genere  sz eh n ee r ax
generell  sz ax n ax r eh l
genetisk  g ax n ee t ih s k
Genève  sz eh n ee v
genial  g ax n ih aa l
genser  g eh n s ax r
genseren  g eh n s ae ng
genug  g ax n uu k
genuin  g ax n uh iy n
geografisk  g ax uh g r aa f ih s k
geologisk  g ax uh l oo g ih s k
geometrisk  g ax uh m ee t r ih s k
gerilja  g eh r ih l j aa
gesims  g eh s ih m s
geskjeftig  g ax sz eh f t ih
geskjeftige  g ax sz eh f t ih ax
geskjeftigere  g ax sz eh f t ih r ax
geskjeftigst  g ax sz eh f t ih k s t
geskjeftigste  g ax sz eh f t ih k s t ax
gestikulere  g eh s t ih k uh l ee r ax
gevinst  g ee v ih n s t
gewinnen  g ax v ih n ax n
gi  j iy
gi t ilbake  j iy t ih l b aa k ax
gi ut  j ih uh t
gidde  g ih d ax
giddeløs  g ih d ax l oeh s
gift  j ih f t
gifte  j ih f t ax
gifte seg  j ih f t ax s ae iy
giftig  j ih f t ih
giftige  j ih f t ih ax
giftigere  j ih f t ih r ax
giftigst  j ih f t ih k s t
giftigste  j ih f t ih k s t ax
gigantisk  g ih g aa n t ih s k
giktisk  j ih k t ih s k
gild  j ih l
gipse  j ih p s ax
gir  g iy r
gire  g iy r ax
girkasse  g iy r k aa s ax
giro  sz iy r u
gisp  j ih s p
gispe  j ih s p ax
gissel  g ih s ax l
givende  j iy v ax n ax
gjalle  j aa l ax
gjeld  j eh l
gjelde  j eh l ax
gjelle  j eh l ax
gjemme  j eh m ax
gjendrive  j eh n d r iy v ax
gjenge  j eh ng ax
gjengi  j eh n j iy
gjengjelde  j eh n j eh l ax
gjengs  j eh ng s
gjenkjenne  j eh n xh eh n ax
gjennom  j eh n ao m
gjennomføre  j eh n ao m f oeh r ax
gjennomgå  j eh n ao m g oo
gjennomgående  j eh n ao m g oo ax n ax
gjennomreise  j eh n uh m r ay s ax
gjennomsiktig  j eh n ao m s ih k t ih
gjennomsiktige  j eh n ao m s ih k t ih ax
gjennomsiktigere  j eh n ao m s ih k t ih r ax
gjennomsiktigst  j eh n ao m s ih k t ih k s t
gjennomsiktigste  j eh n ao m s ih k t ih k s t ax
gjennomskue  j eh n ao m s k uh ax
gjennomsnittlig  j eh n ao m s n ih t l ih
gjennomsnittlige  j eh n ao m s n ih t l ih ax
gjennomsnittligere  j eh n ao m s n ih t l ih r ax
gjennomsnittligst  j eh n ao m s n ih t l ih k s t
gjennomsnittligste  j eh n ao m s n ih t l ih k s t ax
gjennomstekt  j eh n uh m s t ee k t
gjennomsøke  j eh n ao m s oeh k ax
gjennomtrengende  j eh n ao m t r eh ng ax n ax
gjennomvåt  j eh n ao m v oo t
gjenopplive  j eh n ao p l iy v ax
gjenopprette  j eh n ao p r eh t ax
gjenoppta  j eh n ao p t aa
gjensidig  j ax n s iy d ih
gjensidige  j ax n s iy d ih ax
gjensidigere  j ax n s iy d ih r ax
gjensidigst  j ax n s iy d ih k s t
gjensidigste  j ax n s iy d ih k s t ax
gjenstand  j eh n s t aa n
gjenta  j eh n t aa
gjenvinne  j eh n v ih n ax
gjerde  j ae r ax
gjerne  j ae ng ax
gjerrig  j ae r ih
gjerrige  j ae r ih ax
gjerrigere  j ae r ih r ax
gjerrigknark  j ae r ih k n aa r k
gjerrigst  j ae r ih k s t
gjerrigste  j ae r ih k s t ax
Gjert  j ae t
gjesp  j eh s p
gjespe  j eh s p ax
gjess  j eh s
gjest  j eh s t
gjeste  j eh s t ax
gjestfri  j eh s t f r iy
gjestfrihet  j eh s t f r iy hh ee t
gjete  j ee t ax
gjetning  j eh t n ih ng
gjette  j eh t ax
gjev  j ee v
gjær  j ae r
gjære  j ae r ax
gjø  j oeh
gjødsle  j oe t s l ax
gjør  j oeh r
gjøre  j oeh r ax
gjøre rent  j oeh r ax r eh n t
gjøre vondt  j oeh r ax v uh n t
gjørme  j oe r m ax
glad  g l aa
glad for  g l aa f ao r
glane  g l aa n ax
glass  g l aa s
glatt  g l aa t
glatte  g l aa t ax
glede  g l ee d ax
glede seg over  g l ee d ax s ay oo v ax r
glede seg t il  g l ee d ax s ay t ih l
gledelig  g l ee d ax l ih
gledelige  g l ee d ax l ih ax
gledeligere  g l ee d ax l ih r ax
gledeligst  g l ee d ax l ih k s t
gledeligste  g l ee d ax l ih k s t ax
gledeshyl  g l ee d ax s h ueh l
gledestrålende  g l ee d ax s t r oo l ax n ax
glefse  g l eh f s ax
glemme  g l eh m ax
glemsk  g l eh m s k
glemsom  g l eh m s ao m
gli  g l iy
glidefly  g l iy d ax f l ueh
glimre  g l ih m r ax
glimrende  g l ih m r ax n ax
glimte  g l ih m t ax
glinse  g l ih n s ax
glipe  g l iy p ax
glippe  g l ih p ax
glise  g l iy s ax
glissen  g l ih s ax n
glitre  g l ih t r ax
glitrende  g l ih t r ax n ax
glo  g l uu
global  g l uh b aa l
glorete  g l uu r ax t ax
glovarm  g l uu v aa r m
glup  g l uh p
glupsk  g l uh p s k
gløde  g l oeh d ax
gløgg  g l oe g
gløtte  g l oe t ax
gnage  g n aa g ax
gneldre  g n eh l d r ax
gni  g n iy
gnier  g n iy ax r
gnikke  g n ih k ax
gnisse  g n ih s ax
gnistre  g n ih s t r ax
gnåle  g n oo l ax
god  g uu
godarta  g uu aa t aa
godartet  g uu aa t aa
godgjøre  g uu j oeh r ax
godhjerta  g uu j ae t aa
godhjertet  g uu j ae t aa
godkjenne  g uu xh eh n ax
godlynt  g uu l ue n t
gods  g uh s
godslig  g uh sz l ih
godslige  g uh sz l ih ax
godsligere  g uh sz l ih r ax
godsligst  g uh sz l ih k s t
godsligste  g uh sz l ih k s t ax
godsvogn  g uh d s v ao ng n
godt  g ao t
godta  g uu t aa
godte  g ao t ax
godteri  g ao t ax r iy
godtroende  g uu t r uu ax n ax
golf  g ao l f
golfklubb  g ao l f k l uh b
golfkølle  g ao l f k oe l ax
golv  g ao l v
gomle  g uh m l ax
goro  g uu r u
gotikk  g uh t ih k
gra  g r oo
gradere  g r aa d ee r ax
grafikk  g r aa f ih k
grafisk  g r aa f ih s k
grafse  g r aa f s ax
gram  g r aa m
grammatikalitet  g r aa m aa t ih k aa l ih t ee t
grammatikalsk  g r aa m aa t ih k aa l s k
grammatikken  g r aa m aa t ih k ax n
grammatisk  g r aa m aa t ih s k
gran  g r aa n
grann  g r aa n
granne  g r aa n ax
granske  g r aa n s k ax
grate  g r oo t ax
gratinert  g r aa t ih n ee t
gratis  g r aa t ih s
gratulere  g r aa t uh l ee r ax
grav  g r aa v
grave  g r aa v ax
gravere  g r aa v ee r ax
graverende  g r aa v ee r ax n ax
gravid  g r aa v iy d
graviditet  g r aa v ih d ih t ee t
gravlegge  g r aa v l ay ax
gravstein  g r aa v s t ay n
gre  g r ee
grei  g r ay
greie  g r ay ax
grell  g r eh l
gremme  g r eh m ax
grense  g r eh n s ax
grenseløs  g r eh n s ax l oeh s
grenseovergang  g r eh n s ax oo v ax r g aa ng
grepa  g r ee p aa
gresk  g r ee s k
gresse  g r eh s ax
gresselig  g r eh s ax l ih
gresselige  g r eh s ax l ih ax
gresseligere  g r eh s ax l ih r ax
gresseligst  g r eh s ax l ih k s t
gresseligste  g r eh s ax l ih k s t ax
gresskar  g r eh s k aa r
gretten  g r eh t ax n
greve  g r ee v ax
grill  g r ih l
grille  g r ih l ax
grillet  g r ih l ax t
grilltenner  g r ih l t eh n ax r
grim  g r ih m
grimme  g r ih m ax
grine  g r iy n ax
grinete  g r iy n ax t ax
gripende  g r iy p ax n ax
gris  g r iy s
grisen  g r iy s ax n
grisete  g r iy s ax t ax
grisk  g r ih s k
gro  g r uu
grom  g r uh m
grotesk  g r uh t eh s k
grotte  g r ao t ax
grov  g r oo v
grovt  g r ao f t
gruble  g r uh b l ax
grue  g r uh ax
grufull  g r uh f uh l
grums  g r uh m s
grumsete  g r uh m s ax t ax
grundig  g r uh n ih
grundige  g r uh n ih ax
grundigere  g r uh n ih r ax
grundigst  g r uh n ih k s t
grundigste  g r uh n ih k s t ax
grunn  g r uh n
grunne  g r uh n ax
grunngi  g r uh n j iy
grunnlag  g r uh n l aa g
grunnlegge  g r uh n l ay ax
grunnleggende  g r uh n l ay ax n ax
grunnløs  g r uh n l oeh s
gruppe  g r uh p ax
gruppere  g r uh p ee r ax
grusom  g r uh s ao m
gry  g r ueh
grynte  g r ue n t ax
grytestekt  g r ueh t ax s t ee k t
grønlandsk  g r oe n l aa n s k
grønn  g r oe n
grønne bønner  g r oe n ax b oe n ax r
grønnlig  g r oe n l ih
grønnsak  g r oe n s aa k
grønske  g r oe n s k ax
grønt forsikringskort  g r oe n t f ao sz ih k r ih ng s k ao t
grønt kort  g r oe n t k ao t
grøsse  g r oe s ax
grøtete  g r oeh t ax t ax
grå  g r oo
grådig  g r oo d ih
grådige  g r oo d ih ax
grådigere  g r oo d ih r ax
grådigst  g r oo d ih k s t
grådigste  g r oo d ih k s t ax
gråne  g r oo n ax
gråte  g r oo t ax
grått  g r ao t
guano  g uh w aa n u
gubbe  g uh b ax
gud  g uh d
Gud  g uh d
guddommelig  g uh d ao m ax l ih
guddommelige  g uh d ao m ax l ih ax
guddommeligere  g uh d ao m ax l ih r ax
guddommeligst  g uh d ao m ax l ih k s t
guddommeligste  g uh d ao m ax l ih k s t ax
guffen  g uh f ax n
guide  g aa ih d
gul  g uh l
gull  g uh l
gulpe  g uh l p ax
gulrot  g uh l r uu t
gult  g uh t
gulv  g uh l v
gunstig  g uh n s t ih
gunstige  g uh n s t ih ax
gunstigere  g uh n s t ih r ax
gunstigst  g uh n s t ih k s t
gunstigste  g uh n s t ih k s t ax
gurgle  g uh r g l ax
gusten  g uh s t ax n
gut  g uu t
gutt  g uh t
gylden  j ue l n
gyldig  j ue l d ih
gyldige  j ue l d ih ax
gyldigere  j ue l d ih r ax
gyldigst  j ue l d ih k s t
gyldigste  j ue l d ih k s t ax
gyllen  j ue l ax n
gymnastikk  g ue m n aa s t ih k
gynekologisk  g ue n ax k uh l oo g ih s k
gynge  j ue ng ax
gyse  j ueh s ax
gyselig  j ueh s ax l ih
gyselige  j ueh s ax l ih ax
gyseligere  j ueh s ax l ih r ax
gyseligst  j ueh s ax l ih k s t
gyseligste  j ueh s ax l ih k s t ax
gyte  j ueh t ax
gyve  j ueh v ax
gæren  g ae ae ng
gørr  g oe r
gøtt  g oe t
gøy  g oe j
gøyal  g oe j aa l
gå  g oo
gå over  g ao oo v ax r
gå på s k i  g oo p oo sz iy
gå seg vill  g oo s ay v ih l
gå vekk  g oo v eh k
gåen  g oo ax n
gågate  g uu g aa t ax
gård  g oo r
gås  g oo s
gåtefull  g oo t ax f uh l
ha  h aa
ha det travelt  h aa d eh t r aa v ax l t
habil  h aa b iy l
hage  h aa g ax
hagle  h aa g l ax
hai  h ay
haike  h ay k ax
hake  h aa k ax
hakke  h aa k ax
hakket  h aa k ax t
hale  h aa l ax
hall  h aa l
hallusinere  h aa l uh s ih n ee r ax
hals  h aa l s
halsbetennelse  h aa l s b eh t eh n eh l s ax
halsbrann  h aa l s b r aa n
halsbrekkende  h aa l s b r eh k ax n ax
halt  h aa l t
halte  h aa l t ax
halv  h aa l
halvdel  h aa l d ee l
halvere  h aa l v ee r ax
halvpensjon  h aa l p aa ng sz uu n
halvtørr  h aa l t oe r
halvøy  h aa l oe j
halvår  h aa l oo r
hamle  h aa m l ax
hammer  h aa m ax r
hamre  h aa m r ax
hamster  h aa m s t ax r
hamstre  h aa m s t r ax
han  h aa n
handfast  h ao n f aa s t
handgripelig  h ao ng r iy p ax l ih
handgripelige  h ao ng r iy p ax l ih ax
handgripeligere  h ao ng r iy p ax l ih r ax
handgripeligst  h ao ng r iy p ax l ih k s t
handgripeligste  h ao ng r iy p ax l ih k s t ax
handheve  h ao n h ee v ax
handhilse  h ao n h ih l s ax
handlaga  h ao n l aa g ax t
handlaget  h ao n l aa g ax t
handle  h aa n l ax
handling  h aa n d l ih ng
handtere  h ao n t ee r ax
hangle  h aa ng l ax
hanlig  h oo n l ih
hanlige  h oo n l ih ax
hanligere  h oo n l ih r ax
hanligst  h oo n l ih k s t
hanligste  h oo n l ih k s t ax
hann  h aa n
hannkjønn  h aa n xh oe n
hans  h aa n s
hanske  h aa n s k ax
hanskes  h aa n s k ax s
har  h aa r
Harald  h aa r aa l
hard  h aa r
hardbarka  h aa r b aa r k aa
hardbarket  h aa r b aa r k ax t
hardhendt  h aa r hh eh n t
hardnakka  h aa ng aa k aa
hardnakket  h aa ng aa k ax t
harke  h aa r k ax
harm  h aa r m
harme  h aa r m ax
harmløs  h aa r m l oeh s
harmonere  h aa r m uh n ee r ax
harmonisere  h aa r m uh n ih s ee r ax
harmonisk  h aa r m uu n ih s k
harpe  h aa r p ax
harry  h aa r ih
harselere  h aa sz ax l ee r ax
harsk  h aa sz k
hasardiøs  h aa s aa d ih oeh s
hassel  h aa s ax l
hasselnøtt  h aa s ax l n oe t
haste  h aa s t ax
hastig  h aa s t ih
hastverk  h aa s t v ae r k
hat  h aa t
hate  h aa t ax
hatsk  h aa t s k
hatt  h aa t
hatten  h aa t ax n
haug  h aw
hauk  h ae w k
hausse  h aw s ax
hav  h aa v
havarere  h aa v aa r ee r ax
havfrue  h aa v f r uh ax
havn  h aa v ax n
havne  h aa v n ax
havre  h aa v r ax
havregryn  h aa v r ax g r ueh n
hebraisk  h ax b r aa ih s k
hedensk  h ee d ax n s k
heder  h ee d ax r
hederlig  h ee d ax l ih
hederlige  h ee d ax l ih ax
hederligere  h ee d ax l ih r ax
hederligst  h ee d ax l ih k s t
hederligste  h ee d ax l ih k s t ax
hedre  h ee d r ax
hefte  h eh f t ax
hei  h ae iy
heidundrende  h ay d uh n d r ax n ax
heie  h ay ax
heis  h ay s
heise  h ay s ax
hekk  h eh k
hekle  h eh k l ax
hekseskudd  h eh k s ax s k uh d
hekte  h eh k t ax
hektisk  h eh k t ih s k
hel  h ee l
helbrede  h ax l b r ee d ax
heldig  h eh l d ih
heldige  h eh l d ih ax
heldigere  h eh l d ih r ax
heldigst  h eh l d ih k s t
heldigste  h eh l d ih k s t ax
helg  h eh l g
helgardere  h ee l g aa d ee r ax
helgepris  h ae l g ax p r iy s
helikopter  h ax l ih k ao p t ax r
helle  h eh l ax
heller ikke  h eh l ax r ih k ax
hellig  h eh l ih
hellige  h eh l ih ax
helligere  h eh l ih r ax
helligst  h eh l ih k s t
helligste  h eh l ih k s t ax
Helmer  h eh l m ax r
helpensjon  h ee l p aa ng sz uu n
helse  h eh l s ax
helseskadelig  h eh l s ax s k aa d l ih
helseskadelige  h eh l s ax s k aa d l ih ax
helseskadeligere  h eh l s ax s k aa d l ih r ax
helseskadeligst  h eh l s ax s k aa d l ih k s t
helseskadeligste  h eh l s ax s k aa d l ih k s t ax
helst  h eh l s t
helt  h ee l t
heltemodig  h eh l t ax m uu d ih
heltemodige  h eh l t ax m uu d ih ax
heltemodigere  h eh l t ax m uu d ih r ax
heltemodigst  h eh l t ax m uu d ih k s t
heltemodigste  h eh l t ax m uu d ih k s t ax
helvete  h eh l v ax t ax
helvetes  h eh l v ax t ax s
hemme  h eh m ax
hemmelig  h eh m ax l ih
hemmelige  h eh m ax l ih ax
hemmeligere  h eh m ax l ih r ax
hemmelighetsfull  h eh m ax l ih hh ee t s f uh l
hemmeligholde  h eh m ax l ih hh ao l ax
hemmeligst  h eh m ax l ih k s t
hemmeligste  h eh m ax l ih k s t ax
hemningsløs  h eh m n ih ng s l oeh s
hende  h eh n ax
hendelig  h eh n ax l ih
hendelige  h eh n ax l ih ax
hendeligere  h eh n ax l ih r ax
hendeligst  h eh n ax l ih k s t
hendeligste  h eh n ax l ih k s t ax
hendig  h eh n ih
hendige  h eh n ih ax
hendigere  h eh n ih r ax
hendigst  h eh n ih k s t
hendigste  h eh n ih k s t ax
henføre  h eh n f oeh r ax
henge  h eh ng ax
hengi  h eh n j iy
hengslete  h eh ng sz l ax t ax
henlede  h eh n l ee d ax
henlegge  h eh n l ay ax
henne  h eh n ax
hennes  h eh n ax s
henrette  h eh n r eh t ax
Henrik  h eh n r ih k
henrykke  h eh n r ue k ax
hensiktsmessig  h eh n s ih k t s m eh s ih
hensiktsmessige  h eh n s ih k t s m eh s ih ax
hensiktsmessigere  h eh n s ih k t s m eh s ih r ax
hensiktsmessigst  h eh n s ih k t s m eh s ih k s t
hensiktsmessigste  h eh n s ih k t s m eh s ih k s t ax
henstille  h eh n s t ih l ax
hensynsfull  h eh n s ueh n s f uh l
hensynsløs  h eh n s ueh n s l oeh s
hente  h eh n t ax
hentyde  h eh n t ueh d ax
henvende  h eh n v eh n ax
henvise  h eh n v iy s ax
her  h ae r
herberge  h ae r b ae r g ax
herde  h ae d ax
herje  h ae r j ax
herlig  h ae l ih
herlige  h ae l ih ax
herligere  h ae l ih r ax
herligst  h ae l ih k s t
herligste  h ae l ih k s t ax
herme  h ae r m ax
hermetikk  h ax r m eh t ih k
hermetisere  h ae r m ax t ih s ee r ax
hermetisk  h ae r m ee t ih s k
herre  h ae r ax
herreløs  h ae r ax l oeh s
herrer  h eh r ax r
herse  h ae sz ax
herskapelig  h ae sz k aa p ax l ih
herskapelige  h ae sz k aa p ax l ih ax
herskapeligere  h ae sz k aa p ax l ih r ax
herskapeligst  h ae sz k aa p ax l ih k s t
herskapeligste  h ae sz k aa p ax l ih k s t ax
herske  h ae sz k ax
hes  h ee s
heseblesende  h ee s ax b l ee s ax n ax
hesje  h eh sz ax
hest  h eh s t
hesten  h eh s t ax n
hestesko  h eh s t ax s k uu
het  h ee t
hete  h ee t ax
heteroseksuell  h ee t ax r uh s ax k s uh eh l
hetse  h eh t s ax
hevd  h eh v d
hevde  h eh v d ax
heve  h ee v ax
hevelse  h ee v eh l s ax
hevn  h eh v ax n
hevne  h eh v n ax
hevngjerrig  h eh v n j ae r ih
hevngjerrige  h eh v n j ae r ih ax
hevngjerrigere  h eh v n j ae r ih r ax
hevngjerrigst  h eh v n j ae r ih k s t
hevngjerrigste  h eh v n j ae r ih k s t ax
hierarkisk  h ih ax r aa r k ih s k
hige  h iy g ax
hikke  h ih k ax
hikste  h ih k s t ax
hilse  h ih l s ax
hilse på  h ih l s ax p oo
hilsen  h ih l s ax n
himle  h ih m l ax
himmel  h ih m ax l
himmelfallen  h ih m ax l f aa l ax n
himmelsk  h ih m ax l s k
hindre  h ih n d r ax
hinduistisk  h ih n uh ih s t ih s k
hinke  h ih ng k ax
hipp  h ih p
hisse  h ih s ax
hissig  h ih s ih
hissige  h ih s ih ax
hissigere  h ih s ih r ax
hissigst  h ih s ih k s t
hissigste  h ih s ih k s t ax
historie  h ih s t uu r ih ax
historisk  h ih s t uu r ih s k
hittil  h ih t ih l
hive  h iy v ax
hjelm  j eh l m
hjelp  j eh l p
hjelpe  j eh l p ax
hjelpe noen  j eh l p ax n uu ax n
hjelpeløs  j eh l p ax l oeh s
hjelpesenter  j eh l p ax s eh n t ax r
hjelpsom  j eh l p s ao m
hjem  j eh m
hjemland  j eh m l aa n
hjemlig  j eh m l ih
hjemlige  j eh m l ih ax
hjemligere  j eh m l ih r ax
hjemligst  j eh m l ih k s t
hjemligste  j eh m l ih k s t ax
hjemløs  j eh m l oeh s
hjemme  j eh m ax
hjemmefra  j eh m ax f r aa
hjemmelaget  j eh m ax l aa g ax t
hjemreise  j eh m r ay s ax
hjemsted  j eh m s t ee
hjerne  j ae ng ax
hjernerystelse  j ae ng ax r ue s t ax l s ax
hjerneslag  j ae ng ax sz l aa g
hjernevaske  j ae ng ax v aa s k ax
hjerte  j ae t ax
hjerteanfall  j ae t ax aa n f aa l
hjertelig  j ae t ax l ih
hjertelige  j ae t ax l ih ax
hjerteligere  j ae t ax l ih r ax
hjerteligst  j ae t ax l ih k s t
hjerteligste  j ae t ax l ih k s t ax
hjerteløs  j ae t ax l oeh s
hjertens  j ae t ax n s
hjerteskjærende  j ae t ax sz ae r ax n ax
hjul  j uh l
hjulbent  j uu l b ee n t
hjørne  j oeh ng ax
hode  h uu d ax
hodepine  h uu d ax p iy n ax
hodepute  h uu d ax p uh t ax
hodesett  h uu d ax s eh t
hofte  h ao f t ax
hogge  h ao g ax
hoie  h uh j ax
holdbar  h ao l b aa r
holde  h ao l ax
holden  h ao l d ax n
holdning  h ao l d n ih ng
homofil  h uh m uh f iy l
homofili  h uh m uh f ih l iy
honning  h ao n ih ng
honningmelon  h ao n ih ng m eh l uu n
honorere  h uh n uh r ee r ax
hope  h uu p ax
hoppe  h ao p ax
hore  h uu r ax
horisontal  h ao r ih s ao n t aa l
hormonell  h uh r m uh n eh l
horn  h uu ng
horribel  h ao r iy b ax l
hos  h uh s
hoste  h uh s t ax
hostesaft  h uh s t ax s aa f t
hotellgarasje  h uu t eh l g aa r aa sz ax
hovedgate  h uu v ax d g aa t ax
hovedrett  h uu v ax d r eh t
hovedrolle  h uu v eh d r ao l ax
hovedsakelig  h uh v ax d s aa k l ih
hovedsakelige  h uh v ax d s aa k l ih ax
hovedsakeligere  h uh v ax d s aa k l ih r ax
hovedsakeligst  h uh v ax d s aa k l ih k s t
hovedsakeligste  h uh v ax d s aa k l ih k s t ax
hovedstad  h uu v ax d s t aa d
hoven  h oo v ax n
hovere  h ao v ee r ax
hovmodig  h ao v m uu d ih
